Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-11-14,0.000289,0.000289,0.000289,0.000289,2078.0,-1,0.0
2016-11-15,0.000289,0.000384,0.000213,0.000313,2640.0,-1,0.0
2016-11-16,0.000313,0.000322,0.000205,0.00026,1046.0,-1,0.0
2016-11-17,0.000261,0.000331,0.000222,0.00023,432.0,-1,0.0
2016-11-18,0.00023,0.000268,0.000179,0.000188,516.0,-1,0.0
2016-11-19,0.000188,0.000197,0.000143,0.000195,502.0,-1,0.0
2016-11-20,0.000195,0.000248,0.000106,0.000241,363.0,-1,0.0
2016-11-21,0.000241,0.000287,0.000168,0.000222,1376.0,-1,0.0
2016-11-22,0.000222,0.000281,0.000195,0.000278,687.0,-1,0.0
2016-11-23,0.000278,0.000278,0.000193,0.000216,803.0,-1,0.0
2016-11-24,0.000216,0.000224,0.000162,0.000163,426.0,-1,0.0
2016-11-25,0.000163,0.000199,0.000162,0.000163,121.0,-1,0.0
2016-11-26,0.000163,0.000186,6.7e-05,9.6e-05,478.0,-1,0.0
2016-11-27,9.6e-05,0.000133,8.8e-05,0.000132,147.0,-1,0.0
2016-11-28,0.000132,0.000162,0.00011,0.000118,393.0,-1,0.0
2016-11-29,0.000118,0.000155,0.000103,0.000154,462.0,-1,0.0
2016-11-30,0.000155,0.000162,0.000127,0.000149,219.0,-1,0.0
2016-12-01,0.000149,0.000159,0.000127,0.000136,425.0,-1,0.0
2016-12-02,0.000136,0.000147,8.5e-05,0.000132,1175.0,-1,0.0
2016-12-03,0.000132,0.000162,0.000101,0.000162,633.0,-1,0.0
2016-12-04,0.000162,0.000162,0.000108,0.000124,251.0,-1,0.0
2016-12-05,0.000124,0.000152,0.000106,0.000144,231.0,-1,0.0
2016-12-06,0.000144,0.000161,0.000114,0.00016,423.0,-1,0.0
2016-12-07,0.00016,0.000161,0.000129,0.000131,34.0,-1,0.0
2016-12-08,0.000131,0.000161,0.000108,0.000146,559.0,-1,0.0
2016-12-09,0.000146,0.00017,0.000108,0.000139,3921.0,-1,0.0
2016-12-10,0.000139,0.000155,0.000109,0.000139,599.0,-1,0.0
2016-12-11,0.000139,0.000146,0.000115,0.000139,152.0,-1,0.0
