Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-03-16,0.000438,0.000688,0.000437,0.00068,37.0,921.0,0.0
2015-03-17,0.00068,0.00068,0.000654,0.000657,0.0,1431.0,0.0
2015-03-18,0.000656,0.000656,0.000102,0.000564,51.0,1380.0,0.0
2015-03-19,0.000563,0.000581,0.000468,0.00047,0.0,1186.0,0.0
2015-03-20,0.00047,0.000477,0.000259,0.000262,0.0,990.0,0.0
2015-03-21,0.000262,0.000262,0.000107,0.000107,1.0,551.0,0.0
2015-03-22,0.000107,0.000107,8e-05,8e-05,6.0,225.0,0.0
2015-03-23,8e-05,0.001234,8e-05,0.000792,73.0,169.0,0.0
2015-03-24,0.000792,0.000793,0.000122,0.000729,53.0,1787.0,0.0
2015-03-25,0.000735,0.001356,0.000729,0.000985,88.0,1736.0,0.0
2015-03-26,0.000985,0.001017,0.00098,0.000994,89.0,2442.0,0.0
2015-03-27,0.000994,0.000995,0.000994,0.000995,89.0,2466.0,0.0
2015-03-29,0.001224,0.001226,0.001204,0.001214,15.0,3036.0,0.0
2015-03-30,0.001214,0.001235,0.001196,0.001226,1.0,3012.0,0.0
2015-03-31,0.001239,0.001352,0.001095,0.001099,12.0,3074.0,0.0
2015-04-01,0.001099,0.001104,0.000723,0.000742,20.0,2737.0,0.0
2015-04-02,0.000741,0.001175,0.000369,0.00038,3.0,1847.0,0.0
2015-04-03,0.00038,0.001022,0.000378,0.001015,0.0,947.0,0.0
2015-04-04,0.001015,0.001018,0.001002,0.001004,0.0,2530.0,0.0
2015-04-05,0.000252,0.000261,0.000252,0.000261,2.0,630.0,0.0
2015-04-06,0.000261,0.000262,0.000127,0.000128,1.0,650.0,0.0
2015-04-07,0.000128,0.000128,0.000126,0.000127,1.0,318.0,0.0
2015-04-08,0.000123,0.000123,0.000122,0.000123,3.0,306.0,0.0
2015-04-09,0.000122,0.000123,0.00012,0.000121,3.0,305.0,0.0
2015-04-10,8.3e-05,9.4e-05,7.2e-05,9.4e-05,20.0,185.0,0.0
2015-04-11,9.4e-05,9.6e-05,9.4e-05,9.5e-05,1.0,220.0,0.0
2015-04-12,8.5e-05,8.8e-05,8.5e-05,8.7e-05,14.0,199.0,0.0
2015-04-13,8.7e-05,8.8e-05,8.7e-05,8.7e-05,0.0,218.0,0.0
2015-04-14,8e-05,8.1e-05,8e-05,8.1e-05,0.0,200.0,0.0
2015-04-15,8.1e-05,8.2e-05,8.1e-05,8.2e-05,0.0,203.0,0.0
2015-04-16,0.000226,0.00023,0.000225,0.000229,0.0,565.0,0.0
2015-04-17,0.000229,0.000448,0.000227,0.000446,20.0,571.0,0.0
2015-04-18,0.000446,0.000449,0.000442,0.000442,15.0,1158.0,0.0
2015-04-19,8e-05,8e-05,8e-05,8e-05,0.0,209.0,0.0
2015-04-20,8e-05,0.00056,8e-05,0.000559,0.0,208.0,0.0
2015-04-21,0.000559,0.000656,0.000447,0.000656,12.0,1453.0,0.0
2015-04-22,0.000657,0.000714,0.000652,0.000703,4.0,1708.0,0.0
2015-04-23,0.000702,0.000707,0.000697,0.000707,0.0,1825.0,0.0
2015-04-24,0.000706,0.000707,9.9e-05,9.9e-05,1.0,1834.0,0.0
2015-04-25,9.9e-05,0.000457,9.8e-05,0.000453,0.0,258.0,0.0
2015-04-26,0.000453,0.000454,0.000414,0.000417,0.0,1177.0,0.0
2015-04-27,0.000417,0.00042,8.4e-05,8.7e-05,1.0,1085.0,0.0
2015-04-28,8.7e-05,8.7e-05,8.5e-05,8.6e-05,1.0,227.0,0.0
2015-04-29,8.1e-05,0.000408,8.1e-05,0.000407,1.0,211.0,0.0
2015-04-30,0.000406,0.000425,0.000405,0.000425,1.0,1062.0,0.0
2015-05-01,8.4e-05,8.5e-05,7.2e-05,7.2e-05,2.0,220.0,0.0
2015-05-02,7.2e-05,0.000233,5.8e-05,0.000233,0.0,188.0,0.0
2015-05-03,0.000233,0.000241,0.000232,0.000236,5.0,608.0,0.0
2015-05-04,0.000236,0.001859,0.000236,0.001183,134.0,616.0,0.0
2015-05-05,0.001182,0.001184,0.000702,0.000874,5.0,3090.0,0.0
2015-05-06,0.000874,0.000874,0.000688,0.000689,0.0,2284.0,0.0
2015-05-07,0.000689,0.000697,0.000532,0.000534,3.0,1801.0,0.0
2015-05-08,0.000534,0.000591,0.000532,0.000585,0.0,1395.0,0.0
2015-05-09,0.000585,0.000917,0.000585,0.000895,7.0,1529.0,0.0
2015-05-10,0.000894,0.000903,0.000113,0.000113,0.0,2337.0,0.0
2015-05-11,0.000113,0.000733,0.000113,0.000726,0.0,295.0,0.0
2015-05-12,0.000726,0.001089,0.00072,0.000957,5.0,1898.0,0.0
2015-05-13,0.000958,0.000968,0.000958,0.000966,0.0,2505.0,0.0
2015-05-14,0.000118,0.000789,0.000117,0.000261,0.0,309.0,0.0
2015-05-15,0.000261,0.000263,0.00026,0.000261,0.0,681.0,0.0
2015-05-17,0.000782,0.000793,0.000781,0.000789,7.0,2044.0,0.0
2015-05-18,0.000789,0.00079,0.000198,0.000198,3.0,2062.0,0.0
2015-05-19,0.000198,0.000199,0.000197,0.000197,30.0,518.0,0.0
2015-05-20,0.000197,0.000514,0.000121,0.000466,4.0,515.0,0.0
2015-05-21,0.000466,0.00047,0.000465,0.000468,0.0,1217.0,0.0
2015-05-23,0.000399,0.000399,0.000396,0.000397,0.0,1042.0,0.0
2015-05-24,0.000397,0.000399,0.000396,0.000399,0.0,1037.0,0.0
2015-05-28,0.000138,0.000138,0.000138,0.000138,0.0,360.0,0.0
2015-05-29,0.000138,0.000261,0.000137,0.000142,0.0,360.0,0.0
2015-05-30,0.000209,0.000209,0.000116,0.000117,0.0,545.0,0.0
2015-05-31,0.000117,0.000119,0.000116,0.000117,0.0,305.0,0.0
2015-06-01,0.000117,0.000278,0.000117,0.000268,0.0,307.0,0.0
2015-06-02,0.000267,0.000268,0.000267,0.000268,0.0,699.0,0.0
2015-06-04,0.00015,0.00015,0.00015,0.00015,0.0,393.0,0.0
2015-06-05,0.00015,0.000427,0.00015,0.000425,1.0,392.0,0.0
2015-06-06,0.000425,0.000426,0.000247,0.00035,0.0,1111.0,0.0
2015-06-07,0.00035,0.000418,0.000345,0.000417,0.0,914.0,0.0
2015-06-08,0.000417,0.000431,0.000155,0.000155,2.0,1089.0,0.0
2015-06-09,0.000155,0.000432,0.000153,0.000229,0.0,406.0,0.0
2015-06-10,0.000229,0.000229,0.000153,0.00021,1.0,598.0,0.0
2015-06-11,0.000211,0.000212,0.000154,0.000172,0.0,550.0,0.0
2015-06-12,0.000172,0.000229,0.000172,0.000228,0.0,450.0,0.0
2015-06-13,0.000228,0.000228,0.000154,0.000156,0.0,595.0,0.0
2015-06-14,0.000156,0.000176,0.000156,0.000156,0.0,407.0,0.0
2015-06-15,0.000156,0.000159,0.000155,0.000156,0.0,409.0,0.0
2015-06-16,0.000156,0.000193,0.000156,0.000193,0.0,408.0,0.0
2015-06-17,0.000193,0.000198,0.000163,0.000165,1.0,505.0,0.0
2015-06-18,0.000165,0.000166,0.000161,0.000164,0.0,430.0,0.0
2015-06-19,0.000164,0.000175,0.000164,0.000171,0.0,430.0,0.0
2015-06-20,0.000171,0.000172,0.000168,0.000172,0.0,447.0,0.0
2015-06-21,0.000172,0.000172,0.000162,0.000163,0.0,448.0,0.0
2015-06-22,0.000163,0.000166,0.000163,0.000165,0.0,427.0,0.0
2015-06-25,0.000408,0.000408,0.000406,0.000408,0.0,1066.0,0.0
2015-06-26,0.000408,0.000408,0.000406,0.000406,0.0,1065.0,0.0
2015-06-28,0.000115,0.000421,0.000112,0.000418,3.0,299.0,0.0
2015-06-29,0.000418,0.000421,0.000418,0.000421,0.0,1092.0,0.0
2016-04-24,0.002115,0.002116,0.000681,0.001835,0.0,-1.0,0.0
2016-04-25,0.001834,0.00212,0.000721,0.000721,10.0,-1.0,0.0
2016-04-26,0.00072,0.000724,0.000637,0.000639,28.0,-1.0,0.0
2016-04-27,0.000639,0.00064,0.000621,0.000623,0.0,-1.0,0.0
2016-04-28,0.001284,0.001285,0.000626,0.000638,0.0,-1.0,0.0
2016-04-29,0.000638,0.001193,0.000633,0.001193,0.0,-1.0,0.0
2016-04-30,0.001192,0.001194,0.000584,0.001071,20.0,-1.0,0.0
2016-05-01,0.001071,0.001074,0.000396,0.001016,2.0,-1.0,0.0
2016-05-02,0.001017,0.001163,0.00046,0.000694,33.0,-1.0,0.0
2016-05-03,0.000694,0.001606,0.00069,0.001603,2.0,-1.0,0.0
2016-05-04,0.001603,0.001603,0.001586,0.00159,3.0,-1.0,0.0
2016-05-05,0.00159,0.002063,0.001587,0.002061,16.0,-1.0,0.0
2016-05-06,0.002061,0.002088,0.002057,0.002087,14.0,-1.0,0.0
2016-05-07,0.00268,0.002709,0.002678,0.002696,4.0,-1.0,0.0
2016-05-08,0.002696,0.002698,0.002152,0.002293,11.0,-1.0,0.0
